,NU_NOTA_CN,IN_IDOSO,Q026,TP_STATUS_REDACAO,IN_CEGUEIRA,Q006,NU_NOTA_LC,NU_NOTA_COMP1,Q002,NU_NOTA_COMP2,TP_LINGUA,IN_DISCALCULIA,TP_SEXO,TP_PRESENCA_LC,NU_NOTA_COMP3,Q047,NU_NOTA_CH,Q001,TP_ESCOLA,CO_UF_RESIDENCIA,IN_TREINEIRO,NU_INSCRICAO,TP_NACIONALIDADE,NU_NOTA_COMP4,Q025,TP_COR_RACA,IN_SURDEZ,TP_PRESENCA_CN,NU_NOTA_COMP5,TP_PRESENCA_CH,TP_ST_CONCLUSAO,NU_NOTA_REDACAO,IN_DISLEXIA,IN_SABATISTA,IN_BAIXA_VISAO,TP_ANO_CONCLUIU,IN_GESTANTE,Q024,NU_IDADE,NU_NOTA_MT
21,0.0,0,C,0.0,0,D,0.0,0.0,D,0.0,0,0,M,0,0.0,A,0.0,H,1,53,0,5458db66588b99384d711f24a5e77d2befb2bec9,1,0.0,B,3,0,0,0.0,0,1,0.0,0,0,0,4,0,B,24,0.0
22,0.0,0,B,0.0,0,C,0.0,0.0,E,0.0,1,0,M,0,0.0,A,0.0,D,1,43,0,f2dda998a10d8f259dec0018a0a0aefafb66dcf7,1,0.0,A,1,0,0,0.0,0,1,0.0,0,0,0,6,0,A,24,0.0
23,0.0,0,A,0.0,0,B,0.0,0.0,B,0.0,1,0,F,0,0.0,A,0.0,H,1,41,1,fe981a60436f1d9e533a28c67dd66c72290ce7c7,1,0.0,B,3,0,0,0.0,0,3,0.0,0,0,0,0,0,B,17,0.0
24,0.0,0,A,0.0,0,B,0.0,0.0,B,0.0,1,0,F,0,0.0,A,0.0,B,1,31,0,f08085c95978cded4e8009e734772d2889c6ab1d,1,0.0,B,1,0,0,0.0,0,1,0.0,0,0,0,10,0,B,30,0.0
25,484.8,0,A,1.0,0,B,559.1,120.0,D,100.0,1,0,F,1,120.0,A,485.3,D,1,31,0,2600ee9cbb63e8dc65423f18d2f33c8ad198edfe,1,120.0,B,3,0,1,40.0,1,1,500.0,0,0,0,1,0,B,18,475.3
26,0.0,0,C,0.0,0,D,0.0,0.0,D,0.0,0,0,M,0,0.0,A,0.0,D,1,52,0,75182e8460c3cae7808fbe4c3475c15e232327dd,1,0.0,B,3,0,0,0.0,0,1,0.0,0,0,0,5,0,B,22,0.0
27,473.2,0,B,1.0,0,B,472.8,120.0,B,80.0,0,0,M,1,80.0,A,439.1,B,2,32,0,9f1f0f639f56faed5cdb4db727692f9a49f7818b,1,80.0,A,3,0,1,40.0,1,2,400.0,0,0,0,0,0,A,19,430.8
28,390.4,0,B,1.0,0,C,522.5,120.0,C,80.0,0,0,F,1,100.0,A,521.3,B,2,35,0,45837167deb9a4e1969d5d9bdb31e8bfe7c94017,1,120.0,B,3,0,1,20.0,1,2,440.0,0,0,0,0,0,B,19,377.3
29,475.8,0,C,1.0,0,F,483.1,120.0,B,120.0,1,0,M,1,120.0,A,530.0,B,1,41,0,e1268d2857278d8ec8055524bc29cc16b5c4174f,1,120.0,A,3,0,1,40.0,1,1,520.0,0,0,0,4,0,B,21,467.3
30,413.6,0,B,1.0,0,B,530.1,160.0,C,160.0,1,0,F,1,160.0,A,522.3,E,1,21,0,b6b8661c6a0867a13e83b584a0468d5e05804128,1,160.0,B,3,0,1,140.0,1,1,780.0,0,0,0,2,0,B,21,553.9
31,510.0,0,A,1.0,0,B,424.6,160.0,D,160.0,0,0,F,1,140.0,A,560.2,E,2,26,0,3982766156703660bd7c9662b663d250a68f2734,1,160.0,A,3,0,1,100.0,1,2,720.0,0,0,0,0,0,A,17,394.0
32,440.0,0,A,1.0,0,D,470.5,120.0,B,120.0,1,0,M,1,100.0,A,477.2,B,2,23,0,b82b9c8e6d995692aedfad5a31c0c14cfcf108f1,1,120.0,A,1,0,1,140.0,1,2,600.0,0,0,0,0,0,B,19,415.5
33,430.6,0,B,1.0,0,A,402.9,140.0,C,120.0,1,0,F,1,120.0,A,544.2,C,2,33,0,3b096a7385fbcd24adb5e622db6ec33ad81b711c,2,140.0,A,3,0,1,100.0,1,2,620.0,0,0,0,0,0,A,17,427.3
34,449.7,0,C,1.0,0,D,518.5,120.0,C,120.0,0,0,F,1,120.0,A,485.0,D,1,35,0,ab01ff1e35bb088cda3ccb34ee11e718cf49961c,1,120.0,B,2,0,1,40.0,1,1,520.0,0,0,0,6,0,A,24,508.0
35,465.7,0,A,1.0,0,B,542.5,160.0,D,160.0,1,0,F,1,160.0,A,559.7,A,2,13,0,91720b5fe48f70c5f4b21231f265badbb7965923,1,160.0,A,3,0,1,120.0,1,2,760.0,0,0,0,0,0,A,17,563.6
36,477.3,0,A,1.0,0,H,441.9,100.0,F,80.0,1,0,F,1,80.0,A,554.3,C,2,43,0,3f910c1717d215698a89b7774fae6aae9ce80a9b,1,80.0,B,1,0,1,80.0,1,2,420.0,0,0,0,0,0,B,18,383.2
37,0.0,0,A,0.0,0,C,0.0,0.0,B,0.0,1,0,F,0,0.0,A,0.0,B,2,35,0,51e2e191d63c9ce01f2474dfef6867d39bde0e22,1,0.0,A,3,0,0,0.0,0,2,0.0,0,0,0,0,0,A,17,0.0
38,467.8,0,A,1.0,0,F,452.4,140.0,G,140.0,1,0,M,1,120.0,D,512.9,E,1,29,1,160449496c59d74d6efaed45b00fd1802d7b8fe0,1,120.0,B,3,0,1,80.0,1,3,600.0,0,0,0,0,0,B,15,470.0
39,407.8,0,A,1.0,0,C,479.3,140.0,E,120.0,1,0,F,1,120.0,A,559.8,B,1,51,0,5c90f15a173eb63ffaff1dda01bb41959cea8ade,1,120.0,B,3,0,1,140.0,1,1,640.0,0,0,0,1,0,B,18,435.4
40,401.4,0,C,1.0,0,C,518.0,160.0,E,120.0,1,0,F,1,120.0,A,506.9,H,1,31,0,642546ecc2ac60f7533a50e51b3ced50d438fa2a,1,120.0,B,3,0,1,80.0,1,1,600.0,0,0,0,8,0,B,24,373.9
41,448.9,0,A,1.0,0,G,604.4,160.0,G,140.0,0,0,M,1,140.0,B,639.2,E,1,42,0,bcca1cc0d5b3005d943cd206eb899d1b0470d118,1,140.0,B,1,0,1,140.0,1,1,720.0,0,0,0,1,0,D,17,542.4
42,373.4,0,A,1.0,0,E,521.8,120.0,D,120.0,1,0,F,1,80.0,A,518.4,H,2,13,0,80657dbe741b33c3b8aa6627ff05d721fc473535,1,120.0,B,3,0,1,40.0,1,2,480.0,0,0,0,0,0,B,18,405.7
43,560.8,0,C,1.0,0,D,623.0,120.0,C,120.0,0,0,M,1,120.0,A,586.9,B,2,31,0,c9fe095eda5d50f8fd64a9066f0c5cfc66b742d3,1,120.0,B,1,0,1,140.0,1,2,620.0,0,0,0,0,0,C,18,555.6
44,593.9,0,C,1.0,0,H,603.1,120.0,C,120.0,0,0,M,1,80.0,A,549.4,C,1,41,1,ce018e1ed8c91f329f952c59abec1059d15544fc,2,120.0,B,1,0,1,40.0,1,3,480.0,0,0,0,0,0,A,16,539.7
45,498.2,0,A,1.0,0,C,515.7,140.0,E,120.0,1,0,F,1,120.0,A,619.9,E,1,29,1,15fb3ba785590aea2be363ee1b189f1e0c38d168,1,120.0,B,2,0,1,120.0,1,3,620.0,0,0,0,0,0,B,16,390.3
46,461.4,0,A,1.0,0,D,578.4,120.0,F,120.0,1,0,F,1,120.0,A,587.4,E,2,21,0,36c49582ac87ab0169f57407a7030d012e19db0f,1,140.0,B,1,0,1,120.0,1,2,620.0,0,0,0,0,0,B,18,423.5
47,524.5,0,A,1.0,0,D,586.5,120.0,E,120.0,1,0,F,1,120.0,D,581.0,H,1,22,0,272b3de95fdc0983aa22bd9cffa178a3a362ae43,1,120.0,B,3,0,1,120.0,1,1,600.0,0,0,0,1,0,B,19,471.1
48,412.6,0,B,1.0,0,D,443.2,80.0,G,80.0,1,0,M,1,60.0,A,396.3,D,1,17,0,0a90fb44346e04615bc4879b2769751e65740f7e,1,60.0,A,2,0,1,40.0,1,1,320.0,0,0,0,3,0,A,21,354.6
49,366.7,0,A,1.0,0,B,450.4,80.0,C,100.0,0,0,M,1,80.0,A,424.2,C,2,26,0,45baf0018e09111593b980febba5122c6045203b,2,80.0,A,1,0,1,40.0,1,2,380.0,0,0,0,0,0,A,19,345.7
50,440.3,0,A,1.0,0,C,536.4,80.0,H,120.0,1,0,F,1,120.0,A,493.9,H,1,23,0,1495c703543bb33d4b2a3a38075e9102541d872d,1,80.0,A,2,0,1,20.0,1,3,420.0,0,0,0,0,0,A,18,443.8
51,0.0,0,B,0.0,0,D,0.0,0.0,G,0.0,1,0,F,0,0.0,A,0.0,E,1,51,0,31640380bd530bb03092038113931fe88235552d,1,0.0,B,3,0,0,0.0,0,1,0.0,0,0,0,1,0,B,18,0.0
52,377.9,0,B,1.0,0,C,493.6,120.0,E,100.0,0,0,F,1,80.0,A,527.3,E,1,35,0,99b9a595ef66afd906ff6cc1924b8aec91d569ac,1,100.0,A,1,0,1,60.0,1,1,460.0,0,0,0,1,0,B,18,629.3
53,595.1,0,C,1.0,0,D,577.4,100.0,E,120.0,1,0,M,1,120.0,A,565.7,B,1,52,0,89b718d7a23461843c46a4e7e3b44bda0b0152bf,1,120.0,B,3,0,1,100.0,1,1,560.0,0,0,0,2,0,B,21,393.6
54,561.1,0,A,1.0,0,H,607.5,120.0,F,100.0,1,0,M,1,120.0,A,610.8,F,2,31,0,2811fcc8205f513d44f523a753e74e6cc593a4f9,1,80.0,B,3,0,1,100.0,1,2,520.0,0,0,0,0,0,B,18,708.5
55,0.0,0,B,0.0,0,B,0.0,0.0,D,0.0,1,0,M,0,0.0,C,0.0,C,1,23,0,777bd9bcb30c7af5ee67f98072e572a304ad0042,1,0.0,B,3,0,0,0.0,0,1,0.0,0,0,0,10,0,B,40,0.0
56,384.5,0,B,1.0,0,B,527.4,120.0,D,120.0,1,0,M,1,120.0,A,512.4,C,1,15,0,9061a9d12293f7a706455370a3c7db1093a86775,1,100.0,A,3,0,1,100.0,1,1,560.0,0,0,0,1,0,A,20,371.8
57,419.9,0,A,1.0,0,A,387.4,140.0,C,120.0,1,0,F,1,120.0,A,467.9,H,1,22,0,74106591d629e3d8bae3a811a6340f7e31f56ff0,1,120.0,A,3,0,1,100.0,1,3,600.0,0,0,0,0,0,A,19,378.7
58,460.9,0,B,1.0,0,B,516.4,140.0,D,140.0,0,0,F,1,120.0,A,468.0,B,1,35,0,2c28ebcabc43052f3029141fa6bec9bdef65dae6,1,120.0,A,1,0,1,120.0,1,1,640.0,0,0,0,1,0,A,18,468.5
59,0.0,0,C,0.0,0,C,0.0,0.0,D,0.0,1,0,M,0,0.0,B,0.0,D,1,42,0,ccb11e219efb77f2d1f773e490e18204b743c531,1,0.0,B,3,0,0,0.0,0,1,0.0,0,0,0,3,0,B,25,0.0
60,596.2,0,A,1.0,0,I,562.7,140.0,F,160.0,0,0,F,1,160.0,D,610.4,G,1,41,0,b7c29a61f67a7b11a811dd41db7f6cc18cee1082,1,160.0,B,1,0,1,160.0,1,1,780.0,0,0,0,1,0,B,19,728.3
61,443.8,0,B,1.0,0,D,503.5,80.0,E,80.0,1,0,M,1,40.0,A,470.9,E,2,52,0,546520198f2a8f443f61687181896c7a91614265,1,80.0,A,3,0,1,80.0,1,2,360.0,0,0,0,0,0,A,17,434.2
62,493.5,0,A,1.0,0,B,431.9,120.0,C,100.0,1,0,F,1,80.0,A,504.1,C,1,23,1,00fad6ffd37a5fcd02b67623b5141406caf0ffc0,1,120.0,A,1,0,1,80.0,1,3,500.0,0,0,0,0,0,A,16,414.1
63,482.2,0,A,1.0,0,D,604.4,120.0,D,60.0,0,0,M,1,40.0,A,590.8,H,1,33,0,3d45dffbb8f5c2535e2b46228dde95f0c5a4bc00,1,80.0,B,2,0,1,60.0,1,3,360.0,0,0,0,0,0,B,18,457.8
64,0.0,0,C,0.0,0,B,0.0,0.0,G,0.0,0,0,F,0,0.0,A,0.0,B,1,50,0,79596e863089f8b7f26b24ea161920750fb9ad98,1,0.0,A,2,0,0,0.0,0,3,0.0,0,0,0,0,0,A,27,0.0
65,446.0,0,A,1.0,0,G,530.2,140.0,E,140.0,1,0,F,1,120.0,D,518.9,E,3,15,0,42c347cc2d5a972008ab3fef158bec426fc32d22,1,120.0,B,3,0,1,120.0,1,2,640.0,0,0,0,0,0,B,16,370.8
66,437.3,0,A,1.0,0,D,521.7,120.0,D,120.0,0,0,F,1,80.0,A,449.1,B,1,33,1,1184e759ab3abac459311e19e2d4f1773bf1bd41,1,120.0,B,2,0,1,60.0,1,3,500.0,0,0,0,0,0,B,16,412.4
67,0.0,0,A,0.0,0,B,0.0,0.0,E,0.0,1,0,F,0,0.0,D,0.0,B,1,33,0,f102d2cce60240d7c8cc8dcd7e819b81ed724c14,1,0.0,A,3,0,0,0.0,0,3,0.0,0,0,0,0,0,A,20,0.0
68,434.9,0,C,1.0,0,I,546.8,120.0,C,120.0,0,0,F,1,80.0,A,475.2,C,2,35,0,d11f15d217391ddc98d0007cabc4c21f9438b55b,1,120.0,B,2,0,1,140.0,1,2,580.0,0,0,0,0,0,C,17,355.6
69,438.4,0,A,1.0,0,B,507.0,120.0,D,80.0,1,0,M,1,120.0,A,441.4,D,1,16,0,75863688688db57afb85d45f3a0f8359b4a3f256,1,80.0,A,3,0,1,40.0,1,1,440.0,0,0,0,5,0,B,23,401.6
70,367.1,0,C,1.0,0,H,532.0,120.0,D,160.0,0,0,M,1,120.0,A,526.4,E,1,35,0,84d341e1ac9c010aa58f782766258ef3f097a6b7,1,120.0,B,3,0,1,80.0,1,1,600.0,0,0,0,1,0,C,18,492.8
71,393.9,0,B,1.0,0,C,517.3,120.0,E,80.0,1,0,F,1,60.0,A,492.3,C,1,33,0,c0971b9328ab9ffaf2054856c98080d6070541ae,1,100.0,B,2,0,1,60.0,1,1,420.0,0,0,0,3,0,B,22,407.6
72,414.3,0,A,1.0,0,H,524.5,120.0,C,120.0,1,0,F,1,120.0,D,534.0,C,1,52,1,a10aff56c82f1bcb0a43c0aca5061901f21a4dac,1,140.0,B,1,0,1,100.0,1,3,600.0,0,0,0,0,0,B,16,513.0
73,477.9,0,B,1.0,0,D,489.7,140.0,D,100.0,1,0,M,1,80.0,A,484.2,C,1,15,0,a6905d20876982ff0006a442533a58cbb39da4c5,1,100.0,A,3,0,1,80.0,1,1,500.0,0,0,0,9,0,A,27,604.9
74,494.1,0,B,1.0,0,G,546.6,120.0,C,120.0,1,0,F,1,120.0,A,587.5,E,1,31,0,48e9256e4da87667fae37924792e56e197a4dd88,1,80.0,B,1,0,1,100.0,1,1,540.0,0,0,0,10,0,B,37,495.3
75,391.1,0,A,1.0,0,B,511.2,100.0,C,40.0,1,0,M,1,80.0,A,570.4,H,2,23,0,ad810c209e89e9b5e2080eefead70a0f0027c30c,1,80.0,A,3,0,1,60.0,1,2,360.0,0,0,0,0,0,A,17,397.3
76,405.7,0,A,1.0,0,D,464.7,100.0,E,100.0,1,0,F,1,80.0,A,476.4,B,2,33,0,b77d99ff8ee7781a40175b2e1e4dc011e63f1920,1,80.0,A,1,0,1,40.0,1,2,400.0,0,0,0,0,0,A,18,344.1
77,443.0,0,A,1.0,0,B,526.0,120.0,E,100.0,1,0,M,1,120.0,A,521.8,E,2,23,0,231c9a3c08249643f87ed59301e84e7605b2176f,1,120.0,A,3,0,1,80.0,1,2,540.0,0,0,0,0,0,A,17,397.0
78,0.0,0,B,0.0,0,E,0.0,0.0,F,0.0,0,0,M,0,0.0,D,0.0,E,1,33,0,dcdfc953208fe59ec5bd9288d5be4fa3300deb89,1,0.0,B,3,0,0,0.0,0,1,0.0,0,0,0,10,0,B,28,0.0
79,0.0,0,C,0.0,0,E,0.0,0.0,B,0.0,1,0,F,0,0.0,A,0.0,A,1,51,0,4e1c0573b418b839469dab13754968982db53a10,1,0.0,A,4,0,0,0.0,0,1,0.0,0,0,0,5,0,A,23,0.0
80,444.3,0,A,1.0,0,B,530.1,120.0,E,120.0,1,0,F,1,100.0,A,509.1,E,1,17,0,129d6daf0892c79c68c98ea20f8197645b21b221,1,120.0,A,3,0,1,80.0,1,1,540.0,0,0,0,1,0,A,18,488.3
81,0.0,0,C,0.0,0,B,0.0,0.0,B,0.0,0,0,M,0,0.0,A,0.0,B,1,50,0,626eabd333cba14cb6c0c17b13cc2ab36f9070b4,1,0.0,A,4,0,0,0.0,0,4,0.0,0,0,0,0,0,A,22,0.0
82,401.8,0,C,1.0,0,B,444.6,100.0,C,100.0,1,0,F,1,100.0,A,487.6,B,1,31,0,d1aba323399aba7434327ab725bbc2d5682316bf,1,120.0,B,3,0,1,140.0,1,1,560.0,0,0,0,1,0,B,37,363.1
83,0.0,0,C,0.0,0,B,0.0,0.0,D,0.0,0,0,M,0,0.0,A,0.0,C,2,25,0,6ce27caca885b1a612477f606ac8d4e98b90d8e5,1,0.0,B,3,0,0,0.0,0,2,0.0,0,0,0,0,0,A,17,0.0
84,457.0,0,B,1.0,0,C,555.2,160.0,C,140.0,1,0,F,1,120.0,A,538.6,A,1,53,0,272ee225651d10cf558d114ce37c5189da942a62,1,120.0,A,3,0,1,120.0,1,1,660.0,0,0,0,3,0,A,21,418.0
85,475.7,0,B,1.0,0,B,483.5,120.0,C,100.0,0,0,M,1,120.0,A,547.4,C,1,22,0,4d288c96983da75bb8c3983063becbdb867ace89,1,120.0,A,3,0,1,60.0,1,1,520.0,0,0,0,9,0,A,32,503.0
86,459.2,0,A,1.0,0,B,456.0,80.0,C,80.0,0,0,F,1,80.0,A,505.6,B,2,17,0,247c20a9befc204fb261300c33ea0cef3f1d0b7d,1,80.0,A,3,0,1,0.0,1,2,320.0,0,0,0,0,0,A,17,507.8
87,0.0,0,C,0.0,0,N,0.0,0.0,E,0.0,0,0,F,0,0.0,A,0.0,F,1,32,0,67a6a095cbc03868169ce24cd9f956d3b7d4d7de,1,0.0,B,1,0,0,0.0,0,1,0.0,0,0,0,10,0,D,38,0.0
88,382.4,0,A,1.0,0,B,482.0,120.0,B,120.0,1,0,F,1,120.0,A,368.3,B,2,29,0,6169fb11c0c3d6cc7b51edc48b068f948389c40b,1,100.0,A,3,0,1,60.0,1,2,520.0,0,0,0,0,0,A,18,392.4
89,0.0,0,C,0.0,0,B,0.0,0.0,C,0.0,1,0,F,0,0.0,A,0.0,B,1,25,0,4ee9f9a4b868e701463ca030c0659e2e7935ffcf,1,0.0,A,2,0,0,0.0,0,1,0.0,0,0,0,5,0,A,25,0.0
90,460.7,0,C,6.0,0,C,448.2,0.0,B,0.0,0,0,F,1,0.0,A,505.8,B,1,51,0,bad54913c91cb3f2993dea3652a90be28570a247,1,0.0,A,1,0,1,0.0,1,1,0.0,0,0,0,10,0,A,30,351.3
91,462.8,0,A,1.0,0,B,498.6,140.0,D,120.0,1,0,M,1,80.0,A,524.6,D,1,29,0,473fac1a473fc1acbb11e9602f39b135a3c9d9aa,2,120.0,B,3,0,1,60.0,1,3,520.0,0,0,0,0,0,B,18,418.9
92,431.1,0,A,9.0,0,B,467.8,0.0,H,0.0,1,0,M,1,0.0,A,431.7,H,2,23,0,28d46528baddeda8c5c1951536a238d791cfa9f8,1,0.0,A,3,0,1,0.0,1,2,0.0,0,0,0,0,0,A,18,413.0
93,413.1,0,C,1.0,0,G,564.2,80.0,D,100.0,1,0,M,1,80.0,A,541.7,C,1,51,0,6aea69cd043e47f99f5dc98264805ab85f0b6231,1,100.0,B,1,0,1,80.0,1,1,440.0,0,0,0,2,0,B,20,421.0
94,444.7,0,B,1.0,0,B,382.5,80.0,B,40.0,1,0,M,1,60.0,A,412.6,D,1,31,0,9d7bf0f9c4eef2cee9f111baefe4e9fe17a8bdbd,1,60.0,B,1,0,1,20.0,1,1,260.0,0,0,0,6,0,B,26,433.8
95,456.7,0,A,1.0,0,B,456.5,120.0,D,120.0,1,0,F,1,120.0,A,528.5,A,2,23,0,208e05b2a1bb30f66d509e5f53a8e126fecf8d6a,1,120.0,A,3,0,1,100.0,1,2,580.0,0,0,0,0,0,A,17,429.0
96,591.8,0,A,1.0,0,O,591.7,160.0,F,160.0,0,0,M,1,160.0,E,625.3,G,1,35,0,f02d83027c206dc62f6051b098fe57514a512648,1,160.0,B,1,0,1,120.0,1,1,760.0,0,0,0,1,0,C,18,650.0
97,510.0,0,B,1.0,0,G,575.7,160.0,C,120.0,0,0,F,1,120.0,A,543.2,C,1,35,0,1a2b323760650526e617eee8e9b74f5accc8677f,1,140.0,A,1,0,1,20.0,1,1,560.0,0,0,0,10,0,B,42,496.7
98,435.5,0,A,1.0,0,G,530.3,120.0,H,80.0,1,0,M,1,80.0,A,557.9,H,1,43,0,b385375f93bf3c8cd9c1c99d0f136b1d718aafaa,1,60.0,B,1,0,1,40.0,1,4,380.0,0,0,0,0,0,B,20,487.8
99,0.0,0,B,0.0,0,C,0.0,0.0,C,0.0,1,0,F,0,0.0,A,0.0,C,2,23,0,da368ccf70b742a39fdaed13826c429a393b9b67,1,0.0,A,1,0,0,0.0,0,2,0.0,0,0,0,0,0,A,21,0.0
100,432.7,0,C,1.0,0,E,546.8,120.0,C,120.0,1,0,F,1,120.0,A,578.4,C,1,32,0,f46312530d2396d3e19b4f871c08c69af169e61e,1,120.0,A,1,0,1,60.0,1,1,540.0,0,0,0,3,0,B,19,408.4
